[86.8 minutes]	Chunk 3: (pM50~GTSP2160~1) 203056 reads pass barcode filter.
[97.3 minutes]	Chunk 3: (pJ60~GTSP2172~1) 14640 reads pass all demultiplexing filters.
[97.5 minutes]	Chunk 3: (pJ60~GTSP2172~1) 79 reads aligned to the vector and will be removed.
[97.5 minutes]	Chunk 3: (pJ60~GTSP2172~1) 14613 reads remain after removing vector aligned reads and synchronizing.
[97.5 minutes]	Chunk 3: (pJ60~GTSP2172~1) 737 reads removed by virus read start test filter (10 NTs).
[97.5 minutes]	Chunk 3: (pJ60~GTSP2172~1) 737 reads removed after all filters.
[98.1 minutes]	Chunk 3: (pJ60~GTSP2172~1) 2 reads remaining after LTR/ITR capture.
[98.1 minutes]	Chunk 3: (pJ60~GTSP2172~1) captured random linker ids.
[98.1 minutes]	Chunk 3: (8017) reads remaining after read length filters.
[98.1 minutes]	Chunk 3: (pJ60~GTSP2172~1) completed with 8017 reads.
[98.6 minutes]	Chunk 3: (pJ60~GTSP2173~1) 203056 reads pass barcode filter.
[98.6 minutes]	Chunk 3: (pJ60~GTSP2173~1) 14603 reads pass linker code filter.
[98.6 minutes]	Chunk 3: (pJ60~GTSP2173~1) 14419 reads pass all demultiplexing filters.
[98.7 minutes]	Chunk 3: (pJ60~GTSP2173~1) 116 reads aligned to the vector and will be removed.
[98.7 minutes]	Chunk 3: (pJ60~GTSP2173~1) 14380 reads remain after removing vector aligned reads and synchronizing.
[98.7 minutes]	Chunk 3: (pJ60~GTSP2173~1) 720 reads removed by virus read start test filter (10 NTs).
[98.7 minutes]	Chunk 3: (pJ60~GTSP2173~1) 720 reads removed after all filters.
[99.3 minutes]	Chunk 3: (pJ60~GTSP2173~1) 2 reads remaining after LTR/ITR capture.
[99.3 minutes]	Chunk 3: (pJ60~GTSP2173~1) captured random linker ids.
[99.3 minutes]	Chunk 3: (8211) reads remaining after read length filters.
[99.3 minutes]	Chunk 3: (pJ60~GTSP2173~1) completed with 8211 reads.
[99.8 minutes]	Chunk 3: (pJ60~GTSP2174~1) 203056 reads pass barcode filter.
[99.8 minutes]	Chunk 3: (pJ60~GTSP2174~1) 12997 reads pass linker code filter.
[99.8 minutes]	Chunk 3: (pJ60~GTSP2174~1) 12796 reads pass all demultiplexing filters.
[99.9 minutes]	Chunk 3: (pJ60~GTSP2174~1) 77 reads aligned to the vector and will be removed.
[99.9 minutes]	Chunk 3: (pJ60~GTSP2174~1) 12767 reads remain after removing vector aligned reads and synchronizing.
[99.9 minutes]	Chunk 3: (pJ60~GTSP2174~1) 587 reads removed by virus read start test filter (10 NTs).
[99.9 minutes]	Chunk 3: (pJ60~GTSP2174~1) 587 reads removed after all filters.
[100.3 minutes]	Chunk 3: (pJ60~GTSP2174~1) 2 reads remaining after LTR/ITR capture.
[100.3 minutes]	Chunk 3: (pJ60~GTSP2174~1) captured random linker ids.
[100.3 minutes]	Chunk 3: (6242) reads remaining after read length filters.
[100.3 minutes]	Chunk 3: (pJ60~GTSP2174~1) completed with 6242 reads.
[100.8 minutes]	Chunk 3: (pM06~GTSP2175~1) 203056 reads pass barcode filter.
[100.8 minutes]	Chunk 3: (pM06~GTSP2175~1) 11899 reads pass linker code filter.
[100.8 minutes]	Chunk 3: (pM06~GTSP2175~1) 11671 reads pass all demultiplexing filters.
[100.9 minutes]	Chunk 3: (pM06~GTSP2175~1) 156 reads aligned to the vector and will be removed.
[100.9 minutes]	Chunk 3: (pM06~GTSP2175~1) 11610 reads remain after removing vector aligned reads and synchronizing.
[100.9 minutes]	Chunk 3: (pM06~GTSP2175~1) 614 reads removed by virus read start test filter (10 NTs).
[100.9 minutes]	Chunk 3: (pM06~GTSP2175~1) 614 reads removed after all filters.
[101.4 minutes]	Chunk 3: (pM06~GTSP2175~1) 2 reads remaining after LTR/ITR capture.
[101.4 minutes]	Chunk 3: (pM06~GTSP2175~1) captured random linker ids.
[101.4 minutes]	Chunk 3: (4501) reads remaining after read length filters.
[101.4 minutes]	Chunk 3: (pM06~GTSP2175~1) completed with 4501 reads.
[101.9 minutes]	Chunk 3: (pM06~GTSP2176~1) 203056 reads pass barcode filter.
[101.9 minutes]	Chunk 3: (pM06~GTSP2176~1) 16141 reads pass linker code filter.
[102.0 minutes]	Chunk 3: (pM06~GTSP2176~1) 15865 reads pass all demultiplexing filters.
[102.0 minutes]	Chunk 3: (pM06~GTSP2176~1) 190 reads aligned to the vector and will be removed.
[102.0 minutes]	Chunk 3: (pM06~GTSP2176~1) 15787 reads remain after removing vector aligned reads and synchronizing.
[102.0 minutes]	Chunk 3: (pM06~GTSP2176~1) 762 reads removed by virus read start test filter (10 NTs).
[102.0 minutes]	Chunk 3: (pM06~GTSP2176~1) 762 reads removed after all filters.
[102.5 minutes]	Chunk 3: (pM06~GTSP2176~1) 2 reads remaining after LTR/ITR capture.
[102.6 minutes]	Chunk 3: (pM06~GTSP2176~1) captured random linker ids.
[102.6 minutes]	Chunk 3: (6162) reads remaining after read length filters.
[102.6 minutes]	Chunk 3: (pM06~GTSP2176~1) completed with 6162 reads.
[103.0 minutes]	Chunk 3: (pM06~GTSP2177~1) 203056 reads pass barcode filter.
[103.1 minutes]	Chunk 3: (pM06~GTSP2177~1) 12072 reads pass linker code filter.
[103.1 minutes]	Chunk 3: (pM06~GTSP2177~1) 11913 reads pass all demultiplexing filters.
[103.2 minutes]	Chunk 3: (pM06~GTSP2177~1) 192 reads aligned to the vector and will be removed.
[103.2 minutes]	Chunk 3: (pM06~GTSP2177~1) 11834 reads remain after removing vector aligned reads and synchronizing.
[103.2 minutes]	Chunk 3: (pM06~GTSP2177~1) 431 reads removed by virus read start test filter (10 NTs).
[103.2 minutes]	Chunk 3: (pM06~GTSP2177~1) 431 reads removed after all filters.
[103.7 minutes]	Chunk 3: (pM06~GTSP2177~1) 2 reads remaining after LTR/ITR capture.
[103.7 minutes]	Chunk 3: (pM06~GTSP2177~1) captured random linker ids.
[103.7 minutes]	Chunk 3: (4705) reads remaining after read length filters.
[103.7 minutes]	Chunk 3: (pM06~GTSP2177~1) completed with 4705 reads.
[104.1 minutes]	Chunk 3: (pHO2~GTSP2178~1) 203056 reads pass barcode filter.
[104.2 minutes]	Chunk 3: (pHO2~GTSP2178~1) 10309 reads pass linker code filter.
[104.2 minutes]	Chunk 3: (pHO2~GTSP2178~1) 10172 reads pass all demultiplexing filters.
[104.3 minutes]	Chunk 3: (pHO2~GTSP2178~1) 3 reads aligned to the vector and will be removed.
[104.3 minutes]	Chunk 3: (pHO2~GTSP2178~1) 10171 reads remain after removing vector aligned reads and synchronizing.
[104.3 minutes]	Chunk 3: (pHO2~GTSP2178~1) 193 reads removed by virus read start test filter (10 NTs).
[104.3 minutes]	Chunk 3: (pHO2~GTSP2178~1) 193 reads removed after all filters.
[104.5 minutes]	Chunk 3: (pHO2~GTSP2178~1) 2 reads remaining after LTR/ITR capture.
[104.5 minutes]	Chunk 3: (pHO2~GTSP2178~1) captured random linker ids.
[104.5 minutes]	Chunk 3: (2760) reads remaining after read length filters.
[104.5 minutes]	Chunk 3: (pHO2~GTSP2178~1) completed with 2760 reads.
[105.0 minutes]	Chunk 3: (pM12~GTSP2179~1) 203056 reads pass barcode filter.
[105.0 minutes]	Chunk 3: (pM12~GTSP2179~1) 7933 reads pass linker code filter.
[105.0 minutes]	Chunk 3: (pM12~GTSP2179~1) 7802 reads pass all demultiplexing filters.
[105.1 minutes]	Chunk 3: (pM12~GTSP2179~1) 9 reads aligned to the vector and will be removed.
[105.1 minutes]	Chunk 3: (pM12~GTSP2179~1) 7799 reads remain after removing vector aligned reads and synchronizing.
[105.1 minutes]	Chunk 3: (pM12~GTSP2179~1) 234 reads removed by virus read start test filter (10 NTs).
[105.1 minutes]	Chunk 3: (pM12~GTSP2179~1) 234 reads removed after all filters.
[105.3 minutes]	Chunk 3: (pM12~GTSP2179~1) 2 reads remaining after LTR/ITR capture.
[105.3 minutes]	Chunk 3: (pM12~GTSP2179~1) captured random linker ids.
[105.3 minutes]	Chunk 3: (2164) reads remaining after read length filters.
[105.3 minutes]	Chunk 3: (pM12~GTSP2179~1) completed with 2164 reads.
[105.6 minutes]	Chunk 3: (NTC~NTC2~1) 203056 reads pass barcode filter.
[105.7 minutes]	Chunk 3: (NTC~NTC2~1) 0 reads pass linker code filter.
[105.7 minutes]	Chunk 3: (NTC~NTC2~1) No reads demultiplexed.
