[86.6 minutes]	Chunk 26: (pM50~GTSP2160~1) 211705 reads pass barcode filter.
[96.2 minutes]	Chunk 26: (pH19~GTSP2170~1) 5864 reads remain after removing vector aligned reads and synchronizing.
[96.2 minutes]	Chunk 26: (pH19~GTSP2170~1) 272 reads removed by virus read start test filter (10 NTs).
[96.2 minutes]	Chunk 26: (pH19~GTSP2170~1) 272 reads removed after all filters.
[96.4 minutes]	Chunk 26: (pH19~GTSP2170~1) 2 reads remaining after LTR/ITR capture.
[96.4 minutes]	Chunk 26: (pH19~GTSP2170~1) captured random linker ids.
[96.4 minutes]	Chunk 26: (3562) reads remaining after read length filters.
[96.4 minutes]	Chunk 26: (pH19~GTSP2170~1) completed with 3562 reads.
[96.8 minutes]	Chunk 26: (pH19~GTSP2171~1) 211705 reads pass barcode filter.
[96.8 minutes]	Chunk 26: (pH19~GTSP2171~1) 22 reads pass linker code filter.
[96.8 minutes]	Chunk 26: (pH19~GTSP2171~1) 21 reads pass all demultiplexing filters.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) 0 reads aligned to the vector and will be removed.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) 21 reads remain after removing vector aligned reads and synchronizing.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) 1 reads removed by virus read start test filter (10 NTs).
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) 1 reads removed after all filters.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) 2 reads remaining after LTR/ITR capture.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) captured random linker ids.
[96.9 minutes]	Chunk 26: (12) reads remaining after read length filters.
[96.9 minutes]	Chunk 26: (pH19~GTSP2171~1) completed with 12 reads.
[97.3 minutes]	Chunk 26: (pJ60~GTSP2172~1) 211705 reads pass barcode filter.
[97.4 minutes]	Chunk 26: (pJ60~GTSP2172~1) 13859 reads pass linker code filter.
[97.4 minutes]	Chunk 26: (pJ60~GTSP2172~1) 13648 reads pass all demultiplexing filters.
[97.5 minutes]	Chunk 26: (pJ60~GTSP2172~1) 90 reads aligned to the vector and will be removed.
[97.5 minutes]	Chunk 26: (pJ60~GTSP2172~1) 13617 reads remain after removing vector aligned reads and synchronizing.
[97.5 minutes]	Chunk 26: (pJ60~GTSP2172~1) 624 reads removed by virus read start test filter (10 NTs).
[97.5 minutes]	Chunk 26: (pJ60~GTSP2172~1) 624 reads removed after all filters.
[98.2 minutes]	Chunk 26: (pJ60~GTSP2172~1) 2 reads remaining after LTR/ITR capture.
[98.2 minutes]	Chunk 26: (pJ60~GTSP2172~1) captured random linker ids.
[98.2 minutes]	Chunk 26: (7787) reads remaining after read length filters.
[98.2 minutes]	Chunk 26: (pJ60~GTSP2172~1) completed with 7787 reads.
[98.6 minutes]	Chunk 26: (pJ60~GTSP2173~1) 211705 reads pass barcode filter.
[98.7 minutes]	Chunk 26: (pJ60~GTSP2173~1) 15872 reads pass linker code filter.
[98.7 minutes]	Chunk 26: (pJ60~GTSP2173~1) 15654 reads pass all demultiplexing filters.
[98.8 minutes]	Chunk 26: (pJ60~GTSP2173~1) 217 reads aligned to the vector and will be removed.
[98.8 minutes]	Chunk 26: (pJ60~GTSP2173~1) 15581 reads remain after removing vector aligned reads and synchronizing.
[98.8 minutes]	Chunk 26: (pJ60~GTSP2173~1) 767 reads removed by virus read start test filter (10 NTs).
[98.8 minutes]	Chunk 26: (pJ60~GTSP2173~1) 767 reads removed after all filters.
[99.4 minutes]	Chunk 26: (pJ60~GTSP2173~1) 2 reads remaining after LTR/ITR capture.
[99.4 minutes]	Chunk 26: (pJ60~GTSP2173~1) captured random linker ids.
[99.4 minutes]	Chunk 26: (9350) reads remaining after read length filters.
[99.4 minutes]	Chunk 26: (pJ60~GTSP2173~1) completed with 9350 reads.
[99.9 minutes]	Chunk 26: (pJ60~GTSP2174~1) 211705 reads pass barcode filter.
[99.9 minutes]	Chunk 26: (pJ60~GTSP2174~1) 13937 reads pass linker code filter.
[99.9 minutes]	Chunk 26: (pJ60~GTSP2174~1) 13749 reads pass all demultiplexing filters.
[100.0 minutes]	Chunk 26: (pJ60~GTSP2174~1) 40 reads aligned to the vector and will be removed.
[100.0 minutes]	Chunk 26: (pJ60~GTSP2174~1) 13735 reads remain after removing vector aligned reads and synchronizing.
[100.0 minutes]	Chunk 26: (pJ60~GTSP2174~1) 575 reads removed by virus read start test filter (10 NTs).
[100.0 minutes]	Chunk 26: (pJ60~GTSP2174~1) 575 reads removed after all filters.
[100.4 minutes]	Chunk 26: (pJ60~GTSP2174~1) 2 reads remaining after LTR/ITR capture.
[100.5 minutes]	Chunk 26: (pJ60~GTSP2174~1) captured random linker ids.
[100.5 minutes]	Chunk 26: (6937) reads remaining after read length filters.
[100.5 minutes]	Chunk 26: (pJ60~GTSP2174~1) completed with 6937 reads.
[100.9 minutes]	Chunk 26: (pM06~GTSP2175~1) 211705 reads pass barcode filter.
[101.0 minutes]	Chunk 26: (pM06~GTSP2175~1) 12407 reads pass linker code filter.
[101.0 minutes]	Chunk 26: (pM06~GTSP2175~1) 12185 reads pass all demultiplexing filters.
[101.1 minutes]	Chunk 26: (pM06~GTSP2175~1) 195 reads aligned to the vector and will be removed.
[101.1 minutes]	Chunk 26: (pM06~GTSP2175~1) 12106 reads remain after removing vector aligned reads and synchronizing.
[101.1 minutes]	Chunk 26: (pM06~GTSP2175~1) 652 reads removed by virus read start test filter (10 NTs).
[101.1 minutes]	Chunk 26: (pM06~GTSP2175~1) 652 reads removed after all filters.
[101.6 minutes]	Chunk 26: (pM06~GTSP2175~1) 2 reads remaining after LTR/ITR capture.
[101.6 minutes]	Chunk 26: (pM06~GTSP2175~1) captured random linker ids.
[101.6 minutes]	Chunk 26: (4974) reads remaining after read length filters.
[101.6 minutes]	Chunk 26: (pM06~GTSP2175~1) completed with 4974 reads.
[102.1 minutes]	Chunk 26: (pM06~GTSP2176~1) 211705 reads pass barcode filter.
[102.1 minutes]	Chunk 26: (pM06~GTSP2176~1) 17164 reads pass linker code filter.
[102.1 minutes]	Chunk 26: (pM06~GTSP2176~1) 16890 reads pass all demultiplexing filters.
[102.3 minutes]	Chunk 26: (pM06~GTSP2176~1) 335 reads aligned to the vector and will be removed.
[102.3 minutes]	Chunk 26: (pM06~GTSP2176~1) 16755 reads remain after removing vector aligned reads and synchronizing.
[102.3 minutes]	Chunk 26: (pM06~GTSP2176~1) 820 reads removed by virus read start test filter (10 NTs).
[102.3 minutes]	Chunk 26: (pM06~GTSP2176~1) 820 reads removed after all filters.
[102.8 minutes]	Chunk 26: (pM06~GTSP2176~1) 2 reads remaining after LTR/ITR capture.
[102.8 minutes]	Chunk 26: (pM06~GTSP2176~1) captured random linker ids.
[102.8 minutes]	Chunk 26: (7037) reads remaining after read length filters.
[102.8 minutes]	Chunk 26: (pM06~GTSP2176~1) completed with 7037 reads.
[103.3 minutes]	Chunk 26: (pM06~GTSP2177~1) 211705 reads pass barcode filter.
[103.3 minutes]	Chunk 26: (pM06~GTSP2177~1) 13347 reads pass linker code filter.
[103.3 minutes]	Chunk 26: (pM06~GTSP2177~1) 13128 reads pass all demultiplexing filters.
[103.5 minutes]	Chunk 26: (pM06~GTSP2177~1) 215 reads aligned to the vector and will be removed.
[103.5 minutes]	Chunk 26: (pM06~GTSP2177~1) 13039 reads remain after removing vector aligned reads and synchronizing.
[103.5 minutes]	Chunk 26: (pM06~GTSP2177~1) 510 reads removed by virus read start test filter (10 NTs).
[103.5 minutes]	Chunk 26: (pM06~GTSP2177~1) 510 reads removed after all filters.
[104.0 minutes]	Chunk 26: (pM06~GTSP2177~1) 2 reads remaining after LTR/ITR capture.
[104.0 minutes]	Chunk 26: (pM06~GTSP2177~1) captured random linker ids.
[104.0 minutes]	Chunk 26: (5668) reads remaining after read length filters.
[104.0 minutes]	Chunk 26: (pM06~GTSP2177~1) completed with 5668 reads.
[104.4 minutes]	Chunk 26: (pHO2~GTSP2178~1) 211705 reads pass barcode filter.
[104.5 minutes]	Chunk 26: (pHO2~GTSP2178~1) 10675 reads pass linker code filter.
[104.5 minutes]	Chunk 26: (pHO2~GTSP2178~1) 10527 reads pass all demultiplexing filters.
[104.6 minutes]	Chunk 26: (pHO2~GTSP2178~1) 0 reads aligned to the vector and will be removed.
[104.6 minutes]	Chunk 26: (pHO2~GTSP2178~1) 10527 reads remain after removing vector aligned reads and synchronizing.
[104.6 minutes]	Chunk 26: (pHO2~GTSP2178~1) 217 reads removed by virus read start test filter (10 NTs).
[104.6 minutes]	Chunk 26: (pHO2~GTSP2178~1) 217 reads removed after all filters.
[104.8 minutes]	Chunk 26: (pHO2~GTSP2178~1) 2 reads remaining after LTR/ITR capture.
[104.8 minutes]	Chunk 26: (pHO2~GTSP2178~1) captured random linker ids.
[104.9 minutes]	Chunk 26: (3184) reads remaining after read length filters.
[104.9 minutes]	Chunk 26: (pHO2~GTSP2178~1) completed with 3184 reads.
[105.3 minutes]	Chunk 26: (pM12~GTSP2179~1) 211705 reads pass barcode filter.
[105.3 minutes]	Chunk 26: (pM12~GTSP2179~1) 7758 reads pass linker code filter.
[105.3 minutes]	Chunk 26: (pM12~GTSP2179~1) 7647 reads pass all demultiplexing filters.
[105.4 minutes]	Chunk 26: (pM12~GTSP2179~1) 0 reads aligned to the vector and will be removed.
[105.4 minutes]	Chunk 26: (pM12~GTSP2179~1) 7647 reads remain after removing vector aligned reads and synchronizing.
[105.4 minutes]	Chunk 26: (pM12~GTSP2179~1) 200 reads removed by virus read start test filter (10 NTs).
[105.4 minutes]	Chunk 26: (pM12~GTSP2179~1) 200 reads removed after all filters.
[105.5 minutes]	Chunk 26: (pM12~GTSP2179~1) 2 reads remaining after LTR/ITR capture.
[105.5 minutes]	Chunk 26: (pM12~GTSP2179~1) captured random linker ids.
[105.5 minutes]	Chunk 26: (2489) reads remaining after read length filters.
[105.5 minutes]	Chunk 26: (pM12~GTSP2179~1) completed with 2489 reads.
[105.9 minutes]	Chunk 26: (NTC~NTC2~1) 211705 reads pass barcode filter.
[105.9 minutes]	Chunk 26: (NTC~NTC2~1) 0 reads pass linker code filter.
[105.9 minutes]	Chunk 26: (NTC~NTC2~1) No reads demultiplexed.
