[86.5 minutes]	Chunk 13: (pM50~GTSP2160~1) 200796 reads pass barcode filter.
[104.1 minutes]	Chunk 13: (pM12~GTSP2179~1) 200796 reads pass barcode filter.
[104.1 minutes]	Chunk 13: (pM12~GTSP2179~1) 6152 reads pass linker code filter.
[104.1 minutes]	Chunk 13: (pM12~GTSP2179~1) 6070 reads pass all demultiplexing filters.
[104.2 minutes]	Chunk 13: (pM12~GTSP2179~1) 12 reads aligned to the vector and will be removed.
[104.2 minutes]	Chunk 13: (pM12~GTSP2179~1) 6066 reads remain after removing vector aligned reads and synchronizing.
[104.2 minutes]	Chunk 13: (pM12~GTSP2179~1) 169 reads removed by virus read start test filter (10 NTs).
[104.2 minutes]	Chunk 13: (pM12~GTSP2179~1) 169 reads removed after all filters.
[104.3 minutes]	Chunk 13: (pM12~GTSP2179~1) 2 reads remaining after LTR/ITR capture.
[104.3 minutes]	Chunk 13: (pM12~GTSP2179~1) captured random linker ids.
[104.3 minutes]	Chunk 13: (1750) reads remaining after read length filters.
[104.3 minutes]	Chunk 13: (pM12~GTSP2179~1) completed with 1750 reads.
[104.8 minutes]	Chunk 13: (NTC~NTC2~1) 200796 reads pass barcode filter.
[104.8 minutes]	Chunk 13: (NTC~NTC2~1) 0 reads pass linker code filter.
[104.8 minutes]	Chunk 13: (NTC~NTC2~1) No reads demultiplexed.
